De ref,school name,management type,constituency,total enrolment,nearest_same_management_distance,nearest_same_management_school,area
2036533,"Hollybush Primary School, Culmore",Catholic Maintained,Foyle,428.0,0.5,"St Paul's Primary School, Slievemore",0.8
2036555,"St Eugene's Primary School, Derry",Catholic Maintained,Foyle,199.0,0.5,Rosemount Primary School,0.6
2036557,"All Saint's Primary School, Tattysallagh",Catholic Maintained,West Tyrone,102.0,6.5,"St Dympna's Primary School, Dromore",134.1
2036574,"Bunscoil Cholmcille, Derry",Catholic Maintained,Foyle,151.0,0.0,"Steelstown Primary School, Londonderry",0.0
2036581,"St Patrick's Primary School, Pennyburn",Catholic Maintained,Foyle,719.0,0.4,"St Brigid's Primary School, Carnhill",0.5
2036632,"Holy Trinity Primary School, Mill Street",Catholic Maintained,Fermanagh And South Tyrone,617.0,5.2,"St Patrick's Primary School, Mullanaskea",84.1
2036659,"St Macartan's Primary School, Roslea",Catholic Maintained,Fermanagh And South Tyrone,81.0,5.4,"St Tierney's Primary School, Roslea",91.6
2036674,"Holy Family Primary School, Omagh",Catholic Maintained,West Tyrone,325.0,1.0,"St Conor's Primary School, Omagh",3.2
2036696,"St Mary's Primary School, Strabane",Catholic Maintained,West Tyrone,705.0,1.4,St Catherine’s Primary School,6.2
2036703,St Catherine’s Primary School,Catholic Maintained,West Tyrone,457.0,1.4,"St Mary's Primary School, Strabane",6.2
2036711,Our Lady of Fatima Primary School,Catholic Maintained,East Londonderry,98.0,4.5,"Broadbridge Primary School, Eglinton",64.5
2036712,"St Michael's Primary School, Dunamanagh",Catholic Maintained,West Tyrone,76.0,6.9,"St Mary's Primary School, Cloughcor",148.9
2046638,"Gaelscoil Ui Dhochartaigh, Strabane",Other Maintained,West Tyrone,152.0,20.8,"Gaelscoil Eadain Mhoir, Derry",1361.3
2046646,"Gaelscoil Eadain Mhoir, Derry",Other Maintained,Foyle,184.0,3.8,"Gaelscoil Na Daroige, Derry",46.3
2046669,"Bunscoil an Traonaigh, Lisnaskea",Other Maintained,Fermanagh And South Tyrone,65.0,39.7,"Gaelscoil Na gCrann, Omagh",4949.4
2046677,"Gaelscoil Na gCrann, Omagh",Other Maintained,West Tyrone,184.0,27.7,"Gaelscoil Ui Dhochartaigh, Strabane",2403.8
2046687,"Gaelscoil Na Daroige, Derry",Other Maintained,Foyle,114.0,3.8,"Gaelscoil Eadain Mhoir, Derry",46.3
2046689,"Gaelscoil Leim An Mhadaidh, Limavady",Other Maintained,East Londonderry,123.0,25.9,"Gaelscoil Eadain Mhoir, Derry",2104.4
2056442,Sion Mills Primary School,Controlled Integrated,West Tyrone,235.0,53.8,"Carhill Integrated Primary School, Garvagh",9087.1
2066549,Enniskillen Integrated Primary School,GMI,Fermanagh And South Tyrone,465.0,34.3,Omagh Integrated Primary School,3688.3
2066552,Omagh Integrated Primary School,GMI,West Tyrone,313.0,33.6,"Windmill Integrated Primary School, Dungannon",3547.7
2066558,Oakgrove Integrated Primary School,GMI,Foyle,430.0,23.0,"Roe Valley Integrated Primary School, Limavady",1668.4
2066665,"Roe Valley Integrated Primary School, Limavady",GMI,East Londonderry,179.0,23.0,Oakgrove Integrated Primary School,1668.4
3010404,"Tildarg Primary School, Ballyclare",Controlled,South Antrim,38.0,3.8,"Kilbride Central Primary School, Ballyclare",45.6
3010486,Larne & Inver Primary School,Controlled,East Antrim,200.0,0.9,"Moyle Primary School, Larne",2.5
3010553,"Carrickfergus Model Primary School, Carrickfergus",Controlled,East Antrim,364.0,1.0,"Sunnylands Primary School, Carrickfergus",3.2
3010558,"Duneane Primary School, Toomebridge",Controlled,South Antrim,23.0,4.6,"Groggan Primary School, Randalstown",67.7
3010570,"Straid Primary School, Ballyclare",Controlled,South Antrim,18.0,3.5,Ballynure Primary School,39.3
3010572,"Carrowreagh Primary School, Ballymoney",Controlled,North Antrim,89.0,3.3,"Lislagan Primary School, Ballymoney",34.9
3010594,"Garryduff Primary School, Ballymoney",Controlled,North Antrim,72.0,4.0,"Carrowreagh Primary School, Ballymoney",50.8
3010631,Ballyclare Primary School,Controlled,South Antrim,533.0,0.4,"Fairview Primary School, Ballyclare",0.6
3010642,"Parkgate Primary School, Ballyclare",Controlled,South Antrim,51.0,2.8,"Templepatrick Primary School, Ballyclare",24.8
3010646,"Olderfleet Primary School, Larne",Controlled,East Antrim,114.0,1.1,"Moyle Primary School, Larne",3.9
3010696,"Woodburn Primary School, Carrickfergus",Controlled,East Antrim,197.0,1.5,"Woodlawn Primary School, Carrickfergus",7.3
3010714,"Buick Memorial Primary School, Ballymena",Controlled,North Antrim,277.0,1.7,"The Diamond Primary School, Cullybackey",8.9
3010726,Dunseverick Primary School,Controlled,North Antrim,91.0,5.8,Bushmills Primary School,104.2
3010741,"Creavery Primary School, Antrim",Controlled,South Antrim,52.0,4.3,"Parkhall Primary School, Antrim",57.5
3010745,"Loanends Primary School, Crumlin",Controlled,South Antrim,184.0,3.4,"Straidhavern Primary School, Crumlin",35.8
3010754,"Doagh Primary School, Ballyclare",Controlled,South Antrim,134.0,2.5,"Kilbride Central Primary School, Ballyclare",20.2
3010779,"The Thompson Primary School, Ballyclare",Controlled,South Antrim,161.0,3.5,"Doagh Primary School, Ballyclare",39.3
3010780,"Kirkinriola Primary School, Ballymena",Controlled,North Antrim,93.0,2.2,"Dunclug Primary School, Ballymena",14.7
3010781,"Harryville Primary School, Ballymena",Controlled,North Antrim,228.0,0.9,"Ballykeel Primary School, Ballymena",2.6
3010785,"Eden Primary School, Carrickfergus",Controlled,East Antrim,207.0,1.4,"Victoria Primary School, Carrickfergus",6.4
3010787,"Lislagan Primary School, Ballymoney",Controlled,North Antrim,109.0,2.1,"Leaney Primary School, Ballymoney",13.6
3010794,"Gracehill Primary School, Ballymena",Controlled,North Antrim,426.0,2.5,"Fourtowns Primary School, Ahoghill",19.0
3010795,"Landhead Primary School, Ballymoney",Controlled,North Antrim,54.0,1.2,"Leaney Primary School, Ballymoney",4.6
3010796,"Eden Primary School, Ballymoney",Controlled,North Antrim,90.0,3.7,"Culcrow Primary School, Aghadowey",42.8
3010802,Ballynure Primary School,Controlled,South Antrim,144.0,2.0,"Upper Ballyboley Primary School, Ballyclare",13.1
3010804,"Straidbilly Primary School, Ballymoney",Controlled,North Antrim,87.0,5.6,"William Pinkerton Memorial Primary School, Ballymoney",98.0
3010808,"Glynn Primary School, Larne",Controlled,East Antrim,87.0,2.4,Larne & Inver Primary School,18.1
3010809,"Ballycarry Primary School, Carrickfergus",Controlled,East Antrim,38.0,3.4,"Whitehead Primary School, Carrickfergus",36.9
3010816,Randalstown Central Primary School,Controlled,South Antrim,174.0,4.9,"Groggan Primary School, Randalstown",74.7
3010817,"Greenisland Primary School, Carrickfergus",Controlled,East Antrim,410.0,1.0,"Silverstream Primary School, Greenisland",3.3
3010818,"Moorfields Primary School, Ballymena",Controlled,North Antrim,209.0,4.6,"Kells and Connor Primary School, Ballymena",66.5
3010822,"Groggan Primary School, Randalstown",Controlled,South Antrim,127.0,4.6,"Duneane Primary School, Toomebridge",67.7
3010825,"Carnaghts Primary School, Shankbridge",Controlled,North Antrim,94.0,3.2,"Kells and Connor Primary School, Ballymena",31.7
3010826,"The Diamond Primary School, Cullybackey",Controlled,North Antrim,151.0,1.7,"Buick Memorial Primary School, Ballymena",8.9
3010827,"Whitehouse Primary School, Newtownabbey",Controlled,Belfast North,439.0,0.9,"Abbots Cross Primary School, Newtownabbey",2.5
3010828,"Kilbride Central Primary School, Ballyclare",Controlled,South Antrim,102.0,2.5,"Doagh Primary School, Ballyclare",20.2
3010829,Antrim Primary School,Controlled,South Antrim,570.0,0.8,"Parkhall Primary School, Antrim",2.2
3010834,Clough Primary School,Controlled,North Antrim,189.0,4.8,Cloughmills Primary School,72.7
3010835,"Kells and Connor Primary School, Ballymena",Controlled,North Antrim,221.0,3.2,"Carnaghts Primary School, Shankbridge",31.7
3010842,"William Pinkerton Memorial Primary School, Ballymoney",Controlled,North Antrim,89.0,3.7,"Bushvalley Primary School, Ballymoney",42.8
3010846,"Whiteabbey Primary School, Newtownabbey",Controlled,East Antrim,423.0,1.2,"Hollybank Primary School, Monkstown",4.7
3010847,Portrush Primary School,Controlled,East Londonderry,178.0,2.1,"Carnalridge Primary School, Portrush",14.0
3010850,"Upper Ballyboley Primary School, Ballyclare",Controlled,East Antrim,11.0,2.0,Ballynure Primary School,13.1
3010860,"Sunnylands Primary School, Carrickfergus",Controlled,East Antrim,200.0,0.5,"Woodlawn Primary School, Carrickfergus",0.8
3010862,"Abbots Cross Primary School, Newtownabbey",Controlled,Belfast North,312.0,0.9,"Whitehouse Primary School, Newtownabbey",2.5
3010870,"Moyle Primary School, Larne",Controlled,East Antrim,421.0,0.9,Larne & Inver Primary School,2.5
3010873,Bushmills Primary School,Controlled,North Antrim,107.0,2.2,"Ballytober Primary School, Bushmills",15.5
3010874,"Whitehead Primary School, Carrickfergus",Controlled,East Antrim,415.0,3.4,"Ballycarry Primary School, Carrickfergus",36.9
3010875,Ballymena Primary School,Controlled,North Antrim,244.0,0.9,"Dunclug Primary School, Ballymena",2.4
3010878,"Kilmoyle Primary School, Ballymoney",Controlled,North Antrim,111.0,5.1,"William Pinkerton Memorial Primary School, Ballymoney",80.2
3010879,"Straidhavern Primary School, Crumlin",Controlled,South Antrim,46.0,3.4,"Loanends Primary School, Crumlin",35.8
3010880,"King's Park Primary School, Newtownabbey",Controlled,Belfast North,302.0,0.9,"Hollybank Primary School, Monkstown",2.7
3010883,"Linn Primary School, Larne",Controlled,East Antrim,408.0,1.6,"Moyle Primary School, Larne",8.0
3010891,"Fourtowns Primary School, Ahoghill",Controlled,North Antrim,268.0,2.5,"Gracehill Primary School, Ballymena",19.0
3010892,"Ballytober Primary School, Bushmills",Controlled,East Londonderry,83.0,2.2,Bushmills Primary School,15.5
3010893,"Knockahollet Primary School, Ballymena",Controlled,North Antrim,67.0,5.8,"Garryduff Primary School, Ballymoney",104.3
3010895,Rathcoole Primary School,Controlled,Belfast North,174.0,1.1,"Abbots Cross Primary School, Newtownabbey",3.5
3012049,"Carnalridge Primary School, Portrush",Controlled,East Londonderry,119.0,2.1,Portrush Primary School,14.0
3012065,"Culcrow Primary School, Aghadowey",Controlled,East Londonderry,102.0,3.0,"Balnamore Primary School, Ballymoney",28.7
3012225,"Damhead Primary School, Coleraine",Controlled,East Londonderry,204.0,2.6,"Castleroe Primary School, Coleraine",21.6
3012229,"Hezlett Primary School, Coleraine",Controlled,East Londonderry,165.0,5.5,Portstewart Primary School,95.3
3012233,"Tobermore Primary School, Tobermore",Controlled,Mid Ulster,79.0,4.0,Maghera Primary School,49.7
3012234,"Ampertaine Primary School, Maghera",Controlled,Mid Ulster,120.0,5.0,Maghera Primary School,79.1
3012237,"Killowen Primary School, Coleraine",Controlled,East Londonderry,199.0,1.3,"The Irish Society's Primary School, Coleraine",5.0
3012250,Portstewart Primary School,Controlled,East Londonderry,254.0,3.6,"Carnalridge Primary School, Portrush",40.0
3012264,"Millburn Primary School, Coleraine",Controlled,East Londonderry,318.0,0.7,"Harpurs Hill Primary School, Coleraine",1.5
3012267,Magherafelt Primary School,Controlled,Mid Ulster,240.0,3.3,Castledawson Primary School,34.1
3012269,"Kilrea Primary School, Coleraine",Controlled,East Londonderry,90.0,4.8,Rasharkin Primary School,72.4
3012284,"D H Christie Memorial Primary School, Coleraine",Controlled,East Londonderry,326.0,1.3,"Millburn Primary School, Coleraine",5.5
3012288,"Castleroe Primary School, Coleraine",Controlled,East Londonderry,92.0,1.6,"The Irish Society's Primary School, Coleraine",7.8
3012290,Bellaghy Primary School,Controlled,Mid Ulster,48.0,4.5,Castledawson Primary School,63.1
3012291,Maghera Primary School,Controlled,Mid Ulster,67.0,4.0,"Tobermore Primary School, Tobermore",49.7
3013301,"Carnmoney Primary School, Newtownabbey",Controlled,South Antrim,378.0,0.7,"Earlview Primary School, Newtownabbey",1.8
3013310,"Broughshane Primary School, Ballymena",Controlled,North Antrim,309.0,3.0,"Kirkinriola Primary School, Ballymena",29.1
3013315,"Ballykeel Primary School, Ballymena",Controlled,North Antrim,423.0,0.9,"Harryville Primary School, Ballymena",2.6
3013322,"Camphill Primary School, Ballymena",Controlled,North Antrim,388.0,1.0,"Harryville Primary School, Ballymena",3.3
3013323,Mossgrove Primary School,Controlled,Belfast North,230.0,0.5,"Ballyhenry Primary School, Newtownabbey",0.9
3013325,"Leaney Primary School, Ballymoney",Controlled,North Antrim,287.0,1.2,"Landhead Primary School, Ballymoney",4.6
3013330,"Victoria Primary School, Carrickfergus",Controlled,East Antrim,410.0,1.3,"Sunnylands Primary School, Carrickfergus",5.7
3013331,Ballycraigy Primary School,Controlled,South Antrim,147.0,0.7,"Greystone Primary School, Antrim",1.5
3013332,"Toreagh Primary School, Larne",Controlled,East Antrim,114.0,4.0,"Glynn Primary School, Larne",50.5
3013700,"Macosquin Primary School, Coleraine",Controlled,East Londonderry,183.0,2.8,"Castleroe Primary School, Coleraine",25.2
3013704,Castledawson Primary School,Controlled,Mid Ulster,139.0,3.3,Magherafelt Primary School,34.1
3016005,"Silverstream Primary School, Greenisland",Controlled,East Antrim,147.0,1.0,"Greenisland Primary School, Carrickfergus",3.3
3016014,"Templepatrick Primary School, Ballyclare",Controlled,South Antrim,435.0,2.8,"Parkgate Primary School, Ballyclare",24.8
3016015,"Mossley Primary School, Newtownabbey",Controlled,South Antrim,548.0,0.8,"Earlview Primary School, Newtownabbey",2.0
3016037,"Greystone Primary School, Antrim",Controlled,South Antrim,174.0,0.7,Ballycraigy Primary School,1.5
3016038,"Hollybank Primary School, Monkstown",Controlled,East Antrim,184.0,0.9,"King's Park Primary School, Newtownabbey",2.7
3016040,"Armoy Primary School, Ballymoney",Controlled,North Antrim,92.0,4.8,"Bushvalley Primary School, Ballymoney",72.6
3016052,"Harpurs Hill Primary School, Coleraine",Controlled,East Londonderry,244.0,0.7,"Millburn Primary School, Coleraine",1.5
3016055,"Gorran Primary School, Coleraine",Controlled,East Londonderry,83.0,4.1,Garvagh Primary School,52.4
3016058,"Parkhall Primary School, Antrim",Controlled,South Antrim,193.0,0.8,Antrim Primary School,2.2
3016063,"Dunclug Primary School, Ballymena",Controlled,North Antrim,161.0,0.9,Ballymena Primary School,2.4
3016119,Garvagh Primary School,Controlled,East Londonderry,101.0,4.1,"Gorran Primary School, Coleraine",52.4
3016125,Rasharkin Primary School,Controlled,North Antrim,68.0,4.8,"Kilrea Primary School, Coleraine",72.4
3016129,"Carniny Primary School, Ballymena",Controlled,North Antrim,287.0,1.0,Ballymena Primary School,2.8
3016170,"Ballyhenry Primary School, Newtownabbey",Controlled,Belfast North,152.0,0.5,Mossgrove Primary School,0.9
3016225,"Woodlawn Primary School, Carrickfergus",Controlled,East Antrim,135.0,0.5,"Sunnylands Primary School, Carrickfergus",0.8
3016244,"Ashgrove Primary School, Newtownabbey",Controlled,Belfast North,362.0,0.8,"Carnmoney Primary School, Newtownabbey",2.2
3016249,"Earlview Primary School, Newtownabbey",Controlled,South Antrim,205.0,0.7,"Carnmoney Primary School, Newtownabbey",1.8
3016252,"Ballysally Primary School, Coleraine",Controlled,East Londonderry,282.0,0.8,"Millburn Primary School, Coleraine",2.2
3016257,"Oakfield Primary School, Carrickfergus",Controlled,East Antrim,278.0,1.5,"Victoria Primary School, Carrickfergus",6.6
3016260,Cloughmills Primary School,Controlled,North Antrim,89.0,4.8,Clough Primary School,72.7
3016264,"The Irish Society's Primary School, Coleraine",Controlled,East Londonderry,417.0,1.3,"Killowen Primary School, Coleraine",5.0
3016269,"Cairncastle Primary School, Ballygally",Controlled,East Antrim,66.0,4.3,"Linn Primary School, Larne",58.4
3016283,"Knockloughrim Primary School, Magherafelt",Controlled,Mid Ulster,126.0,4.6,Castledawson Primary School,67.4
3016414,"Fairview Primary School, Ballyclare",Controlled,South Antrim,498.0,0.4,Ballyclare Primary School,0.6
3016440,Portglenone Primary School,Controlled,North Antrim,134.0,6.1,"The Diamond Primary School, Cullybackey",118.6
3016444,"Hazelbank Primary School, Ballymena",Controlled,North Antrim,162.0,6.8,"Broughshane Primary School, Ballymena",144.4
3016447,"Balnamore Primary School, Ballymoney",Controlled,North Antrim,16.0,3.0,"Culcrow Primary School, Aghadowey",28.7
3016594,"Bushvalley Primary School, Ballymoney",Controlled,North Antrim,173.0,3.7,"William Pinkerton Memorial Primary School, Ballymoney",42.8
3016705,Islandmagee Primary School,Controlled,East Antrim,138.0,5.3,"Glynn Primary School, Larne",87.2
3030434,"Creggan Primary School, Randalstown",Catholic Maintained,South Antrim,107.0,2.7,Moneynick Primary School,22.7
3030438,"Millquarter Primary School, Toomebridge",Catholic Maintained,North Antrim,125.0,5.2,"St Oliver Plunkett's Primary School, Toomebridge",84.6
3030547,"St Patrick's Primary School, Portrush",Catholic Maintained,East Londonderry,69.0,4.9,"St Colum's Primary School, Portstewart",75.3
3030588,"St Mary's Primary School, Rathlin",Catholic Maintained,North Antrim,12.0,10.5,"St Patrick's & St Brigid's Primary School, Ballycastle",344.5
3030621,"St Mary's Primary School, Portglenone",Catholic Maintained,North Antrim,244.0,2.9,"St Mary's Primary School, Greenlough",26.5
3030688,"Mount St Michael's Primary School, Randalstown",Catholic Maintained,South Antrim,382.0,4.7,"Creggan Primary School, Randalstown",69.2
3030708,"Glenann Primary School, Cushendall",Catholic Maintained,East Antrim,55.0,3.2,"St Mary's Primary School, Cushendall",32.3
3030719,"St Olcan's Primary School, Ballymoney",Catholic Maintained,North Antrim,77.0,7.7,"St Patrick's Primary School, Loughgiel",188.2
3030815,Moneynick Primary School,Catholic Maintained,South Antrim,59.0,2.7,"Creggan Primary School, Randalstown",22.7
3030832,"St Comgall's Primary School, Antrim",Catholic Maintained,South Antrim,500.0,2.6,"St Joseph's Primary School, Antrim",21.9
3030894,"St Mary's Primary School, Cushendall",Catholic Maintained,East Antrim,142.0,2.2,"St Patrick's Primary School, Glenariff",15.6
3030898,"St Anne's Primary School, Loughgiel",Catholic Maintained,North Antrim,91.0,3.6,"St Patrick's Primary School, Loughgiel",41.6
3030900,"St Anthony's Primary School, Larne",Catholic Maintained,East Antrim,71.0,1.5,"St MacNissi's Primary School, Larne",7.3
3032018,"St Brigid's Primary School, Tirkane",Catholic Maintained,Mid Ulster,263.0,3.0,"St Patrick's Primary School, Maghera",27.4
3032109,"New Row Primary School, Castledawson",Catholic Maintained,Mid Ulster,198.0,3.4,"Anahorish Primary School, Toomebridge",36.0
3032185,"St Trea's Primary School, Magherafelt",Catholic Maintained,Mid Ulster,106.0,3.8,"Anahorish Primary School, Toomebridge",45.1
3032197,"Knocknagin Primary School, Dessertmartin",Catholic Maintained,Mid Ulster,74.0,2.5,"St Columb's Primary School, Desertmartin",19.0
3032202,"St Columba's Primary School, Garvagh",Catholic Maintained,East Londonderry,101.0,5.1,St Patrick's & St Joseph's Primary School,80.3
3032205,"St Columb's Primary School, Desertmartin",Catholic Maintained,Mid Ulster,77.0,2.5,"Knocknagin Primary School, Dessertmartin",19.0
3032218,"Crossroads Primary School, Kilrea",Catholic Maintained,Mid Ulster,108.0,4.9,"St Columba's Primary School, Kilrea",75.8
3032231,"St Colum's Primary School, Portstewart",Catholic Maintained,East Londonderry,150.0,4.9,"St Patrick's Primary School, Portrush",75.3
3032246,"St John Bosco Primary School, Ballynease",Catholic Maintained,Mid Ulster,107.0,3.0,"St Mary's Primary School, Portglenone",28.6
3032257,"Anahorish Primary School, Toomebridge",Catholic Maintained,Mid Ulster,186.0,3.4,"New Row Primary School, Castledawson",36.0
3032268,"St Columba's Primary School, Straw",Catholic Maintained,Mid Ulster,145.0,2.1,"St Mary's Primary School, Draperstown",13.5
3032271,"St Eoghan's Primary School, Magherafelt",Catholic Maintained,Mid Ulster,131.0,3.9,"St Columba's Primary School, Straw",48.5
3032273,"St Mary's Primary School, Draperstown",Catholic Maintained,Mid Ulster,177.0,2.1,"St Columba's Primary School, Straw",13.5
3032274,"St John's Primary School, Swatragh",Catholic Maintained,Mid Ulster,225.0,4.4,"St Brigid's Primary School, Tirkane",60.0
3032275,"St Mary's Primary School, Greenlough",Catholic Maintained,Mid Ulster,160.0,2.9,"St Mary's Primary School, Portglenone",26.5
3032281,"St Mary's Primary School, Bellaghy",Catholic Maintained,Mid Ulster,208.0,4.3,"New Row Primary School, Castledawson",57.3
3032285,St Patrick's & St Joseph's Primary School,Catholic Maintained,East Londonderry,155.0,5.1,"St Columba's Primary School, Garvagh",80.3
3032297,"St Malachy's Primary School, Coleraine",Catholic Maintained,East Londonderry,170.0,1.1,"St John's Primary School, Coleraine",4.1
3033303,"St Oliver Plunkett's Primary School, Toomebridge",Catholic Maintained,South Antrim,206.0,3.4,"Anahorish Primary School, Toomebridge",37.2
3033313,"St Bernard's Primary School, Newtownabbey",Catholic Maintained,Belfast North,624.0,1.2,St Mary's-on-the-Hill Primary School,4.5
3033317,"St John's Primary School, Carnlough",Catholic Maintained,East Antrim,146.0,8.5,"St Patrick's Primary School, Glenariff",225.3
3033320,"St Patrick's Primary School, Rasharkin",Catholic Maintained,North Antrim,242.0,5.4,"St Columba's Primary School, Kilrea",90.2
3033326,"St Brigid's Primary School, Ballymoney",Catholic Maintained,North Antrim,209.0,9.8,"St Joseph's Primary School, Dunloy",300.8
3033709,"St John's Primary School, Coleraine",Catholic Maintained,East Londonderry,166.0,1.1,"St Malachy's Primary School, Coleraine",4.1
3036026,"St Joseph's Primary School, Crumlin",Catholic Maintained,South Antrim,541.0,4.1,"Ballymacrickett Primary School, Glenavy",53.2
3036039,"St Mary's Primary School, Glenview",Catholic Maintained,Mid Ulster,274.0,2.0,"St Patrick's Primary School, Maghera",12.0
3036046,St Mary's-on-the-Hill Primary School,Catholic Maintained,Belfast North,342.0,1.2,"St Bernard's Primary School, Newtownabbey",4.5
3036050,"St Joseph's Primary School, Antrim",Catholic Maintained,South Antrim,345.0,2.6,"St Comgall's Primary School, Antrim",21.9
3036100,"St James Primary School, Newtownabbey",Catholic Maintained,East Antrim,261.0,2.9,"St MacNissi's Primary School, Newtownabbey",26.2
3036103,"St Brigid's Primary School, Knockloughrim",Catholic Maintained,Mid Ulster,263.0,5.7,"St Mary's Primary School, Bellaghy",102.4
3036131,"St Patrick's Primary School, Glenariff",Catholic Maintained,East Antrim,83.0,2.2,"St Mary's Primary School, Cushendall",15.6
3036139,"St MacNissi's Primary School, Newtownabbey",Catholic Maintained,South Antrim,172.0,1.8,St Mary's-on-the-Hill Primary School,10.5
3036147,"St Columba's Primary School, Kilrea",Catholic Maintained,East Londonderry,258.0,4.9,"Crossroads Primary School, Kilrea",75.8
3036154,"St Patrick's Primary School, Loughgiel",Catholic Maintained,North Antrim,154.0,3.6,"St Anne's Primary School, Loughgiel",41.6
3036243,"St Joseph's Primary School, Dunloy",Catholic Maintained,North Antrim,312.0,6.0,"St Patrick's Primary School, Rasharkin",112.4
3036268,"St Ciaran's Primary School, Cushendun",Catholic Maintained,East Antrim,44.0,3.9,"Glenann Primary School, Cushendall",48.7
3036292,"St Patrick's Primary School, Maghera",Catholic Maintained,Mid Ulster,171.0,2.0,"St Mary's Primary School, Glenview",12.0
3036559,"St Patrick's & St Brigid's Primary School, Ballycastle",Catholic Maintained,North Antrim,448.0,9.1,"St Olcan's Primary School, Ballymoney",259.0
3036562,"Holy Family Primary School, Magherafelt",Catholic Maintained,Mid Ulster,568.0,3.8,"New Row Primary School, Castledawson",44.4
3036563,"St Nicholas' Primary School, Carrickfergus",Catholic Maintained,East Antrim,131.0,7.2,"St James Primary School, Newtownabbey",164.1
3036575,"St MacNissi's Primary School, Larne",Catholic Maintained,East Antrim,169.0,1.5,"St Anthony's Primary School, Larne",7.3
3036666,"St Colmcilles Primary School, Ballymena",Catholic Maintained,North Antrim,425.0,1.5,"St Brigid's Primary School, Ballymena",7.4
3036679,"St Brigid's Primary School, Ballymena",Catholic Maintained,North Antrim,387.0,1.5,"St Colmcilles Primary School, Ballymena",7.4
3036683,"St Paul's Primary School, Ahoghill",Catholic Maintained,North Antrim,26.0,6.2,"St Colmcilles Primary School, Ballymena",119.9
3036704,"Mary Queen of Peace Primary School, Cargan",Catholic Maintained,North Antrim,227.0,8.0,"St Anne's Primary School, Loughgiel",201.5
3046653,"Gaelscoil An Chaistil, Ballycastle",Other Maintained,North Antrim,100.0,46.5,"Gaelscoil Leim An Mhadaidh, Limavady",6785.8
3046678,"Gaelscoil Na Speirini, Draperstown",Other Maintained,Mid Ulster,79.0,13.3,"Gaelscoil an tSeanchai, Magherafelt",555.8
3046684,"Gaelscoil Ghleann Darach, Crumlin",Other Maintained,South Antrim,99.0,14.3,Scoil Na Fuiseoige,646.1
3046685,"Gaelscoil Eanna, Glengormley",Other Maintained,Belfast North,213.0,5.8,Bunscoil Bheann Mhadagain,104.7
3046691,"Gaelscoil an tSeanchai, Magherafelt",Other Maintained,Mid Ulster,128.0,13.3,"Gaelscoil Na Speirini, Draperstown",555.8
3050519,"Carnlough Integrated Primary School, Ballymena",Controlled Integrated,East Antrim,27.0,3.7,"Seaview Integrated Primary School, Glenarm",42.0
3050791,"Glengormley Integrated Primary School, Newtownabbey",Controlled Integrated,Belfast North,268.0,3.3,Mallusk Controlled Integrated Primary School,33.6
3050841,"Central Integrated Primary School, Carrickfergus",Controlled Integrated,East Antrim,140.0,6.7,"Glencraig Integrated Primary School, Holywood",141.1
3050859,Crumlin Integrated Primary School,Controlled Integrated,South Antrim,150.0,11.2,Six Mile Integrated Primary School,393.4
3050866,Ballymoney Model Controlled Integrated Primary School,Controlled Integrated,North Antrim,363.0,17.4,"Carhill Integrated Primary School, Garvagh",954.6
3050899,"Seaview Integrated Primary School, Glenarm",Controlled Integrated,East Antrim,108.0,3.7,"Carnlough Integrated Primary School, Ballymena",42.0
3052071,"Carhill Integrated Primary School, Garvagh",Controlled Integrated,East Londonderry,77.0,17.4,Ballymoney Model Controlled Integrated Primary School,954.6
3053333,Ballycastle Integrated Primary School,Controlled Integrated,North Antrim,200.0,22.8,Ballymoney Model Controlled Integrated Primary School,1637.1
3056231,Six Mile Integrated Primary School,Controlled Integrated,South Antrim,247.0,2.5,Round Tower Integrated Primary School,19.2
3056248,Round Tower Integrated Primary School,Controlled Integrated,South Antrim,252.0,2.5,Six Mile Integrated Primary School,19.2
3056708,Mallusk Controlled Integrated Primary School,Controlled Integrated,South Antrim,123.0,3.3,"Glengormley Integrated Primary School, Newtownabbey",33.6
3066544,"Mill Strand Integrated Primary School, Portrush",GMI,East Londonderry,409.0,25.5,"Roe Valley Integrated Primary School, Limavady",2040.0
3066551,"Braidside Integratead Primary School, Ballymena",GMI,North Antrim,319.0,14.3,"Maine Integrated Primary School, Randalstown",640.8
3066561,"Corran Integrated Primary School, Larne",GMI,East Antrim,220.0,16.3,"Acorn Integrated Primary School, Carrickfergus",833.7
3066568,"Acorn Integrated Primary School, Carrickfergus",GMI,East Antrim,223.0,11.9,"Hazelwood Integrated Primary School, Newtownabbey",443.8
3066613,"Spires Integrated Primary School, Magherafelt",GMI,Mid Ulster,210.0,13.6,"Phoenix Integrated Primary School NU, Cookstown",584.2
3066652,"Maine Integrated Primary School, Randalstown",GMI,South Antrim,152.0,14.3,"Braidside Integratead Primary School, Ballymena",640.8
4010512,"McKinney Primary School, Dundrod",Controlled,South Antrim,158.0,3.9,"Straidhavern Primary School, Crumlin",46.9
4010720,"Ballycarrickmaddy Primary School, Lisburn",Controlled,South Antrim,196.0,5.5,"Ballymacash Primary School, Lisburn",94.2
4010743,"Largymore Primary School, Lisburn",Controlled,Lagan Valley,194.0,1.1,"Brownlee Primary School, Lisburn",3.9
4010762,"Brownlee Primary School, Lisburn",Controlled,Lagan Valley,198.0,0.8,Lisburn Central Primary School,2.0
